Количество	Имя	Положение X	Положение Y	Положение Z
1	Точка	555894.000	5031324.000	13.300
1	Точка	555837.000	5031315.000	13.300
1	Точка	555920.000	5031314.000	13.300
1	Точка	555830.000	5031325.000	13.300
1	Точка	555912.000	5031308.000	13.300
1	Точка	555871.000	5031326.000	13.300
1	Точка	555844.000	5031319.000	13.300
1	Точка	555851.000	5031313.000	13.300
1	Точка	555867.000	5031327.000	13.300
1	Точка	555899.000	5031334.000	13.300
1	Точка	555883.000	5031325.000	13.300
1	Точка	555864.000	5031331.000	13.300
1	Точка	555924.000	5031335.000	13.300
1	Точка	555880.000	5031313.000	13.300
1	Точка	555824.000	5031335.000	13.300
1	Точка	555501.000	5031315.000	13.600
1	Точка	555486.000	5031314.000	13.600
1	Точка	555707.000	5031342.000	13.600
1	Точка	555644.000	5031343.000	13.600
1	Точка	555599.000	5031339.000	13.600
1	Точка	555810.000	5031329.000	13.600
1	Точка	555475.000	5031314.000	13.600
1	Точка	555466.000	5031312.000	13.600
1	Точка	555608.000	5031341.000	13.600
1	Точка	555799.000	5031307.000	13.600
1	Точка	555759.000	5031334.000	13.600
1	Точка	555517.000	5031318.000	13.600
1	Точка	555798.000	5031297.000	13.600
1	Точка	555803.000	5031308.000	13.600
1	Точка	555766.000	5031340.000	13.500
1	Точка	555612.000	5031342.000	13.500
1	Точка	555805.000	5031312.000	13.500
1	Точка	555808.000	5031306.000	13.500
1	Точка	555719.000	5031338.000	13.500
1	Точка	555636.000	5031342.000	13.500
1	Точка	555811.000	5031333.000	13.500
1	Точка	555730.000	5031336.000	13.600
1	Точка	555770.000	5031341.000	13.600
1	Точка	555807.000	5031336.000	13.600
1	Точка	555460.000	5031297.000	13.600
1	Точка	555522.000	5031320.000	13.500
1	Точка	555795.000	5031343.000	13.600
1	Точка	555811.000	5031323.000	13.600
1	Точка	555784.000	5031345.000	13.600
1	Точка	555794.000	5031298.000	13.700
1	Точка	555742.000	5031333.000	13.700
1	Точка	555763.000	5031335.000	13.700
1	Точка	555694.000	5031343.000	13.700
1	Точка	555794.000	5031294.000	13.700
1	Точка	555808.000	5031320.000	13.700
1	Точка	555560.000	5031328.000	13.700
1	Точка	555801.000	5031312.000	13.700
1	Точка	555555.000	5031326.000	13.700
1	Точка	555687.000	5031344.000	13.700
1	Точка	555711.000	5031340.000	13.700
1	Точка	555752.000	5031333.000	13.700
1	Точка	555807.000	5031332.000	13.700
1	Точка	555777.000	5031343.000	13.700
1	Точка	555497.000	5031314.000	13.600
1	Точка	555800.000	5031340.000	13.600
1	Точка	555509.000	5031316.000	13.600
1	Точка	555631.000	5031341.000	13.600
1	Точка	555798.000	5031301.000	13.600
1	Точка	555737.000	5031334.000	13.600
1	Точка	555663.000	5031346.000	13.600
1	Точка	555572.000	5031332.000	13.600
1	Точка	555767.000	5031336.000	13.700
1	Точка	555595.000	5031337.000	13.700
1	Точка	555481.000	5031312.000	13.600
1	Точка	555470.000	5031313.000	13.600
1	Точка	555604.000	5031340.000	13.600
1	Точка	555505.000	5031315.000	13.600
1	Точка	555802.000	5031303.000	13.500
1	Точка	555818.000	5031315.000	13.400
1	Точка	555762.000	5031339.000	13.400
1	Точка	555820.000	5031320.000	13.400
1	Точка	555742.000	5031337.000	13.400
1	Точка	555487.000	5031318.000	13.400
1	Точка	555773.000	5031345.000	13.400
1	Точка	555815.000	5031336.000	13.400
1	Точка	555824.000	5031318.000	13.400
1	Точка	555808.000	5031302.000	13.400
1	Точка	555902.000	5031316.000	13.400
1	Точка	555812.000	5031341.000	13.400
1	Точка	555525.000	5031323.000	13.400
1	Точка	555822.000	5031326.000	13.400
1	Точка	555906.000	5031322.000	13.400
1	Точка	555826.000	5031313.000	13.300
1	Точка	555876.000	5031317.000	13.300
1	Точка	555502.000	5031319.000	13.300
1	Точка	555847.000	5031316.000	13.300
1	Точка	555934.000	5031329.000	13.300
1	Точка	555892.000	5031310.000	13.300
1	Точка	555825.000	5031330.000	13.300
1	Точка	555909.000	5031336.000	13.300
1	Точка	555814.000	5031314.000	13.400
1	Точка	555894.000	5031314.000	13.400
1	Точка	555891.000	5031327.000	13.300
1	Точка	555886.000	5031321.000	13.300
1	Точка	555880.000	5031335.000	13.300
1	Точка	555914.000	5031332.000	13.300
1	Точка	555494.000	5031317.000	13.400
1	Точка	555814.000	5031328.000	13.500
1	Точка	555698.000	5031344.000	13.500
1	Точка	555815.000	5031323.000	13.500
1	Точка	555746.000	5031335.000	13.500
1	Точка	555577.000	5031335.000	13.400
1	Точка	555788.000	5031346.000	13.500
1	Точка	555627.000	5031343.000	13.500
1	Точка	555811.000	5031337.000	13.500
1	Точка	555490.000	5031315.000	13.500
1	Точка	555812.000	5031319.000	13.500
1	Точка	555479.000	5031316.000	13.500
1	Точка	555809.000	5031311.000	13.500
1	Точка	555824.000	5031322.000	13.500
1	Точка	555802.000	5031299.000	13.500
1	Точка	555816.000	5031319.000	13.400
1	Точка	555513.000	5031319.000	13.400
1	Точка	555815.000	5031332.000	13.400
1	Точка	555586.000	5031337.000	13.400
1	Точка	555483.000	5031317.000	13.400
1	Точка	555755.000	5031337.000	13.400
1	Точка	555723.000	5031338.000	13.400
1	Точка	555567.000	5031333.000	13.400
1	Точка	555810.000	5031315.000	13.400
1	Точка	555818.000	5031326.000	13.400
1	Точка	555751.000	5031338.000	13.400
1	Точка	555534.000	5031322.000	13.400
1	Точка	555780.000	5031346.000	13.400
1	Точка	555808.000	5031340.000	13.400
1	Точка	555557.000	5031310.000	16.000
1	Точка	555583.000	5031318.000	16.000
1	Точка	555573.000	5031316.000	16.000
1	Точка	555428.000	5031286.000	16.000
1	Точка	555470.000	5031291.000	15.900
1	Точка	555505.000	5031301.000	16.000
1	Точка	555707.000	5031323.000	16.000
1	Точка	555598.000	5031321.000	16.000
1	Точка	555715.000	5031308.000	16.000
1	Точка	555698.000	5031326.000	16.000
1	Точка	555624.000	5031323.000	16.000
1	Точка	555408.000	5031279.000	16.000
1	Точка	555553.000	5031312.000	16.000
1	Точка	555659.000	5031326.000	16.000
1	Точка	555675.000	5031326.000	15.900
1	Точка	555684.000	5031327.000	15.900
1	Точка	555441.000	5031286.000	15.900
1	Точка	555704.000	5031326.000	15.900
1	Точка	555725.000	5031298.000	15.900
1	Точка	555671.000	5031327.000	15.900
1	Точка	555710.000	5031320.000	15.900
1	Точка	555412.000	5031281.000	15.900
1	Точка	555606.000	5031323.000	15.900
1	Точка	555718.000	5031305.000	15.900
1	Точка	555679.000	5031326.000	15.900
1	Точка	555734.000	5031286.000	15.900
1	Точка	555524.000	5031305.000	15.900
1	Точка	555614.000	5031323.000	15.900
1	Точка	555663.000	5031326.000	16.000
1	Точка	555714.000	5031304.000	16.100
1	Точка	555725.000	5031292.000	16.100
1	Точка	555666.000	5031323.000	16.100
1	Точка	555589.000	5031317.000	16.100
1	Точка	555703.000	5031321.000	16.000
1	Точка	555437.000	5031285.000	16.000
1	Точка	555610.000	5031322.000	16.000
1	Точка	555722.000	5031295.000	16.100
1	Точка	555684.000	5031323.000	16.100
1	Точка	555501.000	5031299.000	16.100
1	Точка	555690.000	5031322.000	16.100
1	Точка	555740.000	5031274.000	16.100
1	Точка	555680.000	5031322.000	16.100
1	Точка	555433.000	5031284.000	16.100
1	Точка	555446.000	5031285.000	16.000
1	Точка	555711.000	5031307.000	16.000
1	Точка	555694.000	5031323.000	16.000
1	Точка	555548.000	5031310.000	16.000
1	Точка	555434.000	5031288.000	16.000
1	Точка	555739.000	5031278.000	16.000
1	Точка	555539.000	5031306.000	16.000
1	Точка	555514.000	5031302.000	16.000
1	Точка	555567.000	5031313.000	16.000
1	Точка	555717.000	5031301.000	16.000
1	Точка	555691.000	5031327.000	16.000
1	Точка	555578.000	5031315.000	16.000
1	Точка	555717.000	5031297.000	16.000
1	Точка	555706.000	5031318.000	16.000
1	Точка	555563.000	5031313.000	15.900
1	Точка	555713.000	5031323.000	15.700
1	Точка	555448.000	5031289.000	15.700
1	Точка	555420.000	5031285.000	15.700
1	Точка	555544.000	5031311.000	15.700
1	Точка	555742.000	5031281.000	15.700
1	Точка	555595.000	5031324.000	15.700
1	Точка	555722.000	5031303.000	15.700
1	Точка	555586.000	5031321.000	15.700
1	Точка	555579.000	5031319.000	15.700
1	Точка	555424.000	5031286.000	15.700
1	Точка	555444.000	5031289.000	15.700
1	Точка	555489.000	5031297.000	15.700
1	Точка	555607.000	5031327.000	15.700
1	Точка	555575.000	5031320.000	15.700
1	Точка	555722.000	5031313.000	15.600
1	Точка	555466.000	5031291.000	15.600
1	Точка	555438.000	5031289.000	15.600
1	Точка	555660.000	5031330.000	15.600
1	Точка	555664.000	5031330.000	15.600
1	Точка	555726.000	5031302.000	15.600
1	Точка	555412.000	5031285.000	15.600
1	Точка	555708.000	5031327.000	15.600
1	Точка	555729.000	5031292.000	15.700
1	Точка	555645.000	5031327.000	15.700
1	Точка	555738.000	5031286.000	15.600
1	Точка	555478.000	5031294.000	15.600
1	Точка	555677.000	5031330.000	15.600
1	Точка	555718.000	5031318.000	15.600
1	Точка	555533.000	5031308.000	15.700
1	Точка	555667.000	5031327.000	15.800
1	Точка	555601.000	5031324.000	15.800
1	Точка	555408.000	5031283.000	15.800
1	Точка	555641.000	5031325.000	15.800
1	Точка	555558.000	5031314.000	15.800
1	Точка	555591.000	5031321.000	15.800
1	Точка	555688.000	5031330.000	15.800
1	Точка	555743.000	5031277.000	15.900
1	Точка	555714.000	5031315.000	15.900
1	Точка	555721.000	5031299.000	15.900
1	Точка	555730.000	5031288.000	15.900
1	Точка	555569.000	5031317.000	15.800
1	Точка	555416.000	5031284.000	15.800
1	Точка	555650.000	5031326.000	15.900
1	Точка	555722.000	5031307.000	15.700
1	Точка	555618.000	5031325.000	15.700
1	Точка	555636.000	5031326.000	15.700
1	Точка	555701.000	5031329.000	15.700
1	Точка	555694.000	5031330.000	15.700
1	Точка	555681.000	5031330.000	15.700
1	Точка	555611.000	5031326.000	15.700
1	Точка	555718.000	5031314.000	15.800
1	Точка	555655.000	5031328.000	15.800
1	Точка	555629.000	5031325.000	15.800
1	Точка	555714.000	5031319.000	15.800
1	Точка	555738.000	5031282.000	15.800
1	Точка	555719.000	5031310.000	15.800
1	Точка	555529.000	5031307.000	15.800
1	Точка	555710.000	5031316.000	16.100
1	Точка	555599.000	5031317.000	16.300
1	Точка	555684.000	5031312.000	16.300
1	Точка	555702.000	5031294.000	16.300
1	Точка	555669.000	5031315.000	16.300
